EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-05 16:00:00-05:00,1.94,,
2025-10-30 16:00:00-04:00,1.56,1.95,25.2
2025-07-31 16:00:00-04:00,1.33,1.68,26.13
2025-05-01 16:00:00-04:00,1.36,1.59,17.08
2025-02-06 16:00:00-05:00,1.48,1.86,25.36
2024-10-31 16:00:00-04:00,1.14,1.43,25.17
2024-08-01 12:00:00-04:00,1.03,1.26,22.92
2024-04-30 16:00:00-04:00,0.83,0.98,17.67
2024-02-01 16:00:00-05:00,0.8,1.0,24.38
2023-10-26 16:00:00-04:00,0.58,0.94,62.22
2023-08-03 16:00:00-04:00,0.34,0.65,91.19
2023-04-27 16:00:00-04:00,0.21,0.31,46.82
2023-02-02 16:00:00-05:00,0.16,0.03,-81.68
